Date, NCEP/NCAR R1 Precipitable Water (kg/m^2) 30N-40N;-95E--105E
2007-10-01,    0.098
2007-11-01,    0.397
2007-12-01,    0.698
2008-01-01,   -0.329
2008-02-01,   -0.197
2008-03-01,   -0.675
2008-04-01,   -1.038
2008-05-01,   -0.345
2008-06-01,   -0.551
2008-07-01,   -0.145
2008-08-01,    0.507
2008-09-01,   -0.288
2008-10-01,   -0.750
2008-11-01,   -0.823
2008-12-01,    0.204
2009-01-01,   -0.503
2009-02-01,   -0.353
2009-03-01,    0.439
2009-04-01,   -0.728
2009-05-01,    0.318
2009-06-01,    0.312
2009-07-01,   -0.839
2009-08-01,   -0.991
2009-09-01,    1.231
2009-10-01,    0.983
2009-11-01,   -0.335
2009-12-01,   -0.997
2010-01-01,   -0.476
2010-02-01,   -1.300
2010-03-01,   -2.071
2010-04-01,   -0.144
2010-05-01,    0.111
2010-06-01,    2.544
2010-07-01,    2.894
2010-08-01,    1.317
2010-09-01,    0.806
2010-10-01,   -1.654
2010-11-01,   -1.022
2010-12-01,   -1.283
2011-01-01,   -0.851
2011-02-01,   -0.675
2011-03-01,   -0.665
2011-04-01,    0.285
2011-05-01,   -1.392
2011-06-01,   -0.694
2011-07-01,    2.792
2011-08-01,    0.860
2011-09-01,   -1.970
2011-10-01,   -1.498
2011-11-01,   -0.783
2011-12-01,    0.546
2012-01-01,   -0.217
2012-02-01,    0.144
2012-03-01,    2.293
2012-04-01,    0.943
2012-05-01,   -0.378
2012-06-01,   -0.918
2012-07-01,    0.629
2012-08-01,   -0.933
2012-09-01,   -0.705
2012-10-01,   -0.400
2012-11-01,   -1.505
2012-12-01,   -0.083
2013-01-01,    0.603
2013-02-01,   -0.525
2013-03-01,   -1.606
2013-04-01,   -0.024
2013-05-01,   -0.064
2013-06-01,   -1.051
2013-07-01,   -0.801
2013-08-01,   -0.231
2013-09-01,    0.381
2013-10-01,    0.189
2013-11-01,   -0.261
2013-12-01,   -0.596
2014-01-01,   -1.116
2014-02-01,   -0.345
2014-03-01,   -1.424
2014-04-01,   -0.604
2014-05-01,   -0.900
2014-06-01,    0.307
2014-07-01,   -2.135
2014-08-01,   -0.383
2014-09-01,    0.732
2014-10-01,   -0.204
2014-11-01,   -2.030
2014-12-01,    1.505
2015-01-01,    0.001
2015-02-01,   -0.370
2015-03-01,    1.955
2015-04-01,    1.831
2015-05-01,    1.806
2015-06-01,    1.124
2015-07-01,   -0.386
2015-08-01,   -1.842
2015-09-01,    0.538
2015-10-01,    0.459
2015-11-01,    2.769
2015-12-01,    1.192
2016-01-01,   -0.768
2016-02-01,   -0.807
2016-03-01,    0.439
2016-04-01,    0.585
2016-05-01,   -0.433
2016-06-01,    0.569
2016-07-01,    0.875
2016-08-01,    2.061
2016-09-01,    0.591
2016-10-01,    0.049
2016-11-01,    1.327
2016-12-01,    1.782
2017-01-01,    0.787
2017-02-01,    0.923
2017-03-01,    1.355
2017-04-01,    1.064
2017-05-01,   -2.076
2017-06-01,   -0.250
2017-07-01,   -0.489
2017-08-01,    0.522
2017-09-01,   -0.784
2017-10-01,    0.116
2017-11-01,    1.046
2017-12-01,    0.039
2018-01-01,   -0.908
2018-02-01,    2.339
2018-03-01,    0.087
2018-04-01,   -1.603
2018-05-01,    1.092
2018-06-01,    0.930
2018-07-01,    0.200
2018-08-01,   -0.133
2018-09-01,    2.623
2018-10-01,    1.664
2018-11-01,   -1.206
2018-12-01,    0.459
2019-01-01,    0.083
2019-02-01,    1.504
2019-03-01,   -0.457
2019-04-01,    0.151
2019-05-01,    0.765
2019-06-01,   -0.390
2019-07-01,   -0.925
2019-08-01,    1.459
2019-09-01,    1.626
2019-10-01,    0.288
2019-11-01,   -0.163
2019-12-01,   -0.517
2020-01-01,    0.714
2020-02-01,    0.376
2020-03-01,    3.103
2020-04-01,    0.259
2020-05-01,   -0.310
2020-06-01,   -0.243
2020-07-01,    1.343
2020-08-01,   -1.294
2020-09-01,    0.319
2020-10-01,   -0.331
2020-11-01,   -0.263
2020-12-01,   -1.197
2021-01-01,    0.043
2021-02-01,   -0.585
2021-03-01,    0.119
2021-04-01,   -0.143
2021-05-01,    1.692
2021-06-01,    0.605
2021-07-01,   -0.414
2021-08-01,    0.725
2021-09-01,   -0.731
2021-10-01,    0.547
2021-11-01,   -1.130
2021-12-01,    2.880
2022-01-01,   -0.690
2022-02-01,   -0.812
2022-03-01,   -1.312
2022-04-01,    0.202
2022-05-01,    0.315
2022-06-01,    0.238
2022-07-01,    0.454
2022-08-01,    1.162
2022-09-01,   -1.294
2022-10-01,   -0.917
2022-11-01,    0.396
2022-12-01,    1.008
2023-01-01,    0.507
2023-02-01,    0.649
2023-03-01,    0.948
2023-04-01,   -0.580
